"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"43","Ga0485185","ME_2020-10-19_15m","Freshwater","Virome",129.9,39656927570,305182528,828019,66240,17553,5142,623,63,755398223,318258161,172618518,88469015,23456904,5276136,66240,318258161,5490,2394,14978,51667,3709,2145,1981,1583,560,1965,135,45,1509,319,220,85
"44","Ga0485170","ME_2020-10-19_15m","Freshwater","Mixed MG",149.4,17449318267,116830200,492335,48976,9296,2403,343,72,581759006,205151775,89701876,43649515,14194883,5422920,48976,205151775,4353,2269,12065,39332,255,150,120,139,44,116,11,23,72,16,18,37
"45","Ga0485186","ME_2020-10-19_23.5m","Freshwater","Virome",129.9,36959685291,284466246,1155224,77204,17670,4705,607,97,956615887,346999561,170303897,82921723,24202176,7384119,77204,346999561,4893,2339,18317,61130,3019,1773,1651,1273,485,1613,128,32,1200,281,199,82
"46","Ga0485171","ME_2020-10-19_23.5m","Freshwater","Mixed MG",149.5,20702011850,138490280,622324,64536,12395,3399,575,116,753465622,276587192,125342152,65000530,24169015,8712048,64536,276587192,4490,2271,15135,51537,400,244,200,209,63,190,21,33,139,25,30,48
"47","Ga0485184","ME_2020-10-19_5m","Freshwater","Virome",129.9,36030659525,277298408,861272,72415,18764,5603,772,104,807678545,348398280,187636880,98277244,29334818,7075120,72415,348398280,5463,2399,16190,56482,4002,2313,2147,1768,613,2131,138,44,1611,343,243,97
"48","Ga0485172","ME_2020-10-19_5m","Freshwater","Mixed MG",149.3,19451836975,130249684,545109,53364,9919,2440,314,65,638130923,219866588,93768211,43688369,13587857,5424608,53364,219866588,4254,2257,13438,43000,323,211,162,180,62,179,13,19,120,23,20,43
"49","ERR594385","TARA_064_DCM","Marine","Virome",97.6,5232792911,53606618,331051,18951,4912,1649,353,67,262014720,96978082,55417776,33094569,14081879,4375766,18951,96978082,6118,2411,3657,14520,1611,1115,1068,689,349,1033,57,25,824,134,140,7
"50","ERR599023","TARA_064_DCM","Marine","Mixed MG",97.4,12582892880,129251014,1067958,25944,4621,950,53,3,586530604,100686597,38854628,14196245,1788120,228979,25944,100686597,3986,2237,7211,21182,128,73,70,55,43,70,1,2,57,8,2,6
"51","ERR594392","TARA_064_SRF","Marine","Virome",97.3,5828473868,59908660,349854,21108,5492,1894,498,170,300490907,127431650,81067111,56695984,36056041,25051156,21108,127431650,7918,2494,2688,15382,964,695,653,420,192,623,28,44,477,103,73,39
"52","ERR599150","TARA_064_SRF","Marine","Mixed MG",99.1,29184222025,294467664,2022535,47110,7582,1472,132,6,1080002038,177872444,63744350,23097521,4544776,391946,47110,177872444,3797,2218,13408,38651,199,115,113,95,73,107,3,5,94,6,5,10
