,SRR8487029,SRR8487034,SRR8487015,SRR8487030,SRR8487021,SRR8487010,SRR8487022,SRR8487020,SRR8487018,SRR8487035,SRR8487011,SRR8487013,SRR8487023,SRR8487039,SRR8487032,SRR8487025,SRR8487014,SRR8487036,SRR8487019,SRR8487017,SRR8487037,SRR8487024,SRR8487031,SRR8487027,SRR8487026,SRR8487028,SRR8487040,SRR8487038,SRR8487012,SRR8487016
SRR8487016_vRhyme_unbinned_208,0,0.6624588,0.01497082,0,0.34946713,0.9577518,0.9302208,0.90757424,0.6753362,0.6251586,0.89907384,0,0.5398376,0.006533875,0,0,0.2807663,0.2918041,0.99435425,0.9501396,0,0,0.022709971,0,0,0,0.006407003,0,0,0.9814768
SRR8487011_vRhyme_unbinned_502,0,0.10479786,0,0,0.030757897,0.6901188,0.93618196,0.47877336,0.16391933,0.049636245,0.9658348,0,0.13426651,0,0,0.08232802,0.05258311,0.06041072,0.95054793,0.8834147,0.013813427,0.013813427,0.016391933,0,0,0,0,0,0,0.6933419
SRR8487019_vRhyme_unbinned_75,0.2564005,0.9711054,0.7292194,0.29893604,0.93423676,0.95083433,0.8042782,0.99758095,0.9784746,0.9899205,0.99919367,0.17910181,0.9754956,0.110762686,0.21879269,0.15226789,0.9982753,0.8573189,0.9172584,0.98102814,0.14689215,0.17475641,0.29102924,0.15264867,0.23827976,0.27116138,0.08872214,0.07062381,0.14111322,0.99970883
SRR8487021_vRhyme_unbinned_547,0,0.6260728,0.11200205,0.013267226,0.94828176,0.63385195,0.90444523,0.62270474,0.9061549,0.93424517,0.16770388,0.008309113,0.9128056,0.002154214,0.004103266,0,0.695589,0.6840144,0.85118824,0.38640794,0.08054368,0,0,0,0.001983245,0.009095572,0.004821337,0,0.004393913,0.66385704
SRR8487016_vRhyme_unbinned_397,0,0.007918993,0.004327318,0,0,0.019646026,0.7114544,0.81453115,0.06577524,0.027348652,0.24877754,0,0,0,0,0,0,0.012981955,0.021550046,0.054827124,0,0,0,0,0,0,0,0,0,1
SRR8487023_vRhyme_unbinned_161,0,0.97019273,0.82253027,0.06935598,1,0.7926398,0.71137756,0.7692852,0.9997086,0.9978352,0.7479289,0.052495733,1,0.09404271,0,0,0.9997502,0.9995837,0.9749386,0.6492652,0,0,0.06948087,0.05020607,0.07430998,0,0.047291953,0,0.015444819,0.83959866
SRR8487018_vRhyme_unbinned_743,0,0.96404266,0.62249404,0.056556925,0.9893324,0.5961008,0.80862606,0.5997793,0.98436636,0.90693396,0.8117528,0,0.55692476,0.03338238,0,0,0.9071179,0.98464227,0.13380541,0.828398,0,0,0.019312121,0.038992092,0.015357734,0,0.026301268,0,0.055545337,0.7309178
SRR8487023_vRhyme_unbinned_534,0,0.88736236,0.34510052,0.019379493,0.99426806,0.3266309,0.34041488,0.11459376,0.98635244,0.966973,0.11695933,0,0.983259,0.02911473,0,0,0.9196615,0.87890095,0.27154034,0.24247111,0,0,0.003548358,0.014375398,0.027931944,0,0.032481123,0,0.007142207,0.223774
SRR8487022_vRhyme_unbinned_221,0,0.9156824,0.7708126,0.036217447,0.98206913,0.9495517,0.999075,0.9987904,0.9961577,0.6198947,0.99729615,0.028746264,0.97381526,0.055500213,0.010673118,0,0.5282482,0.84467053,0.99985766,0.9978654,0.020350078,0,0.012309663,0.057919454,0.044471323,0,0.098477304,0.4466344,0.16379678,0.8549879
SRR8487019_vRhyme_unbinned_173,0,0,0.006033646,0.002366136,0.0477013,0.52963585,0.39339375,0.20086128,0.23088753,0.014220476,0.7395594,0,0.13437286,0,0,0.003549204,0,0.028866857,0.9989589,0.18659347,0,0,0,0,0,0,0.0031233,0,0.00243712,0.8288574
