,SRR8487021,SRR8487020,SRR8487015,SRR8487022,SRR8487040,SRR8487010,SRR8487035,SRR8487024,SRR8487013,SRR8487037,SRR8487032,SRR8487025,SRR8487034,SRR8487027,SRR8487017,SRR8487029,SRR8487014,SRR8487028,SRR8487023,SRR8487012,SRR8487011,SRR8487019,SRR8487030,SRR8487016,SRR8487036,SRR8487026,SRR8487031,SRR8487038,SRR8487039,SRR8487018
SRR8487018_vRhyme_unbinned_923,2.8390079,5.5936055,0.19022918,1.1060077,0,1.1873997,3.0489485,0,0,0,0,0,2.339055,0,1.0401773,0,3.2060738,0,2.1912665,0,10.524946,1.0838442,0,3.3706498,0.9833066,0,0,0,0,4.2009807
SRR8487036_vRhyme_unbinned_77,12.3795595,0,1.8358171,0,0,0.23155402,26.987356,0,0,0,0,0,1.1243943,0,0,0,3.038659,0,6.204008,0,0,0,0,0,7.9010386,0,0,0,0,2.5821826
SRR8487010_vRhyme_unbinned_249,0.31346193,1.5676345,0,3.9034314,0,2.5686498,0.3307208,0,0,0,0,0,0.28328934,0,3.7918375,0,0.6169746,0,0.5208934,0,2.905462,2.5287309,0,2.4145787,0.23740101,0,0,0,0,0.38611168
SRR8487034_vRhyme_unbinned_198,4.5266457,0.8369906,0.74618775,1.4144838,0,0.67376864,3.2656076,0,0,0,0,0,2.5675576,0,0.68752986,0,2.8869348,0,5.454811,0,0.65740395,2.1092927,0,0.8760427,2.4236226,0,0,0,0,7.2539716
SRR8487021_vRhyme_unbinned_85,6.266057,11.826475,1.7947965,10.000326,0,3.7005224,3.3377967,0,0,0,0,0,5.514696,0,5.1472893,0,7.891574,0,5.9721317,0,7.055519,4.7828217,0,14.154474,3.38624,0,0,0,0,10.422491
SRR8487021_vRhyme_unbinned_493,8.103441,1.3367456,0.45071658,3.927854,0,3.9785511,5.1517987,0,0,0,0,0,1.8761821,0,1.1091937,0,3.3992395,0,6.410159,0,1.5833089,1.5858438,0,0.9775763,1.2015209,0,0,0,0,3.7109292
SRR8487020_vRhyme_unbinned_7,1.8832567,2.5288703,0,3.8998814,0,0.5911385,0.4245213,0,0,0,0,0,1.4233339,0,0.31163722,0,1.5178121,0,1.8201722,0,2.4988124,3.4414427,0,1.0998219,1.448716,0,0,0,0.08668547,4.555366
SRR8487036_vRhyme_unbinned_507,0,0,1.9822903,0,0,0,1.796575,0,0,0,0,0,3.5129263,0,0,0,2.1057475,0,0,0,0,0,0,0,20.97422,0,0,0,0,1.4263858
SRR8487022_vRhyme_unbinned_868,5.0231466,4.449737,0.28254423,5.7653756,0,2.4911525,3.7829747,0,0,0,0,0,3.3068388,0,3.504639,0,2.2314682,0,4.9015784,0,6.907317,6.0488763,0,2.593209,3.6430416,0,0,0,0,8.640938
SRR8487034_vRhyme_unbinned_71,7.720432,0,0.39371908,0,0,0,1.8782042,0,0,0,0,0,5.6465297,0,0,0,2.4811873,0,6.142857,0,0,0.14360666,0,0,4.378129,0,0,0,0,10.171413
SRR8487019_vRhyme_unbinned_156,3.0795913,4.13255,0.22751784,4.105376,0,2.7787929,2.5699012,0,0,0,0,0,1.6984247,0,4.1494102,0,3.2533495,0,3.7757082,0,2.368074,5.950644,0,2.766807,2.3286552,0,0,0,0,5.989121
SRR8487017_vRhyme_bin_98,2.8787632,0.90738237,0.48738056,0.75761676,0,2.628673,7.9753923,0,0,0,0,0,1.0901839,0,2.9936903,0,1.8892194,0,2.164278,0,0.60866237,2.1944294,0,1.3438345,2.5728772,0,0,0,0,2.39936
SRR8487019_vRhyme_unbinned_169,0.6751679,1.6930708,0.079283886,4.9329543,0,4.3773694,0.60456055,0,0,0,0,0,0.71747494,0,6.713722,0,0.44128403,0,1.1136075,0,4.3278675,4.4761577,0,4.184932,0.39976576,0,0,0,0,0.50711095
SRR8487020_vRhyme_unbinned_246,1.0177921,1.7683988,0,1.4256976,0,2.9506671,1.533057,0,0,0,0,0,0.25808734,0,4.3606954,0,0.5475131,0,0.6781237,0,4.587141,0.91852003,0,1.7226042,2.2414072,0,0,0,0.065810755,2.5157704
SRR8487020_vRhyme_unbinned_104,1.4307911,10.411861,0.09213262,8.773279,0,3.8219717,1.1833899,0,0,0,0,0,2.1037312,0,4.944961,0,0.8221906,0,1.8014005,0,8.799759,6.881278,0,5.3165555,0.45519203,0,0,0,0,3.5070577
SRR8487020_vRhyme_unbinned_95,3.3881457,7.358212,0.11490066,6.356755,0,0.23271523,0,0,0,0,0,0,2.3394039,0,2.589669,0,2.0503974,0,4.509073,0,2.203775,12.010662,0,1.1742384,0.6903311,0,0,0,0,4.208212
SRR8487020_vRhyme_unbinned_88,2.9137568,13.9249525,0,8.079592,0,6.1130695,2.2213724,0,0,0,0,0,1.503381,0,4.0438976,0,2.6836271,0,3.758785,0,10.110298,10.794258,0,11.730296,1.2401065,0,0,0,0,7.622215
SRR8487019_vRhyme_unbinned_623,1.0649627,4.1144257,0,7.3985257,0,4.159617,0.84548086,0,0,0,0,0,2.3377652,0,2.7876825,0,0.70763296,0,1.0468448,0,2.0967898,2.6262743,0,3.5057178,0.92105263,0,0,0,0,1.6242766
SRR8487014_vRhyme_unbinned_44,5.2774224,0,1.8136666,0,0,0,3.763168,0,0,0,0,0,0.92316544,0,0,0,5.2355537,0,1.8353362,0,0,0,0,0,3.6846075,0,0.17553055,0,0,5.3757353
SRR8487018_vRhyme_unbinned_334,3.3314075,1.6204832,0.7060924,1.9614496,0,1.6114496,2.4521008,0,0,0,0,0,0.83245796,0,4.631723,0,4.321954,0,2.054832,0,0.31071427,1.7853992,0,3.920273,1.8369747,0,0,0,0,2.585084
SRR8487016_vRhyme_unbinned_610,9.471808,13.526178,1.4978856,8.565546,0.121425696,9.032219,5.446939,0,0.22523157,0,0,0,4.880185,0,10.174386,0,7.1403546,0,8.745369,0.15666533,10.672473,9.243355,0.29832864,15.560008,3.9952679,0,0.20167136,0,0.14518727,14.065847
