,SRR9162899,SRR9162906,SRR9161507,SRR9162908,SRR9161510,SRR9161509,SRR9162905,SRR9161500,SRR9161503,SRR9162907,SRR9161502,SRR9162900,SRR9161506,SRR9162904,SRR9161505,SRR9161501,SRR9161504,SRR9162901,SRR9162903,SRR9162902
SRR9161506_vRhyme_unbinned_218,0,0,0,1.8165313,0,8.308864,0.6403924,0,0.46887687,0.12065855,1.3150654,0.550857,27.386671,0,0.26251692,2.2684934,0.8430311,0,0,0
SRR9161509_vRhyme_unbinned_90,1.4154012,0,0,0.23844062,0.18976654,22.705122,1.9464529,6.971215,0,4.163361,1.1392226,0.06538985,41.625114,0,0,3.8026404,4.881063,0.21401858,0.28020173,0
SRR9161509_vRhyme_unbinned_131,0,0,0,0,0,20.03717,0,0,0,0.2382201,0,0,0,0,0,0,0,0,0,0
SRR9161509_vRhyme_unbinned_189,4.642921,0,0,0.8649688,0.3419602,54.607185,6.3224344,11.532499,3.738636,9.483231,19.425577,3.0287194,118.0698,0,0,22.371471,8.501799,7.6670685,0.6471132,0.49176377
SRR9161509_vRhyme_unbinned_321,0,0,0,0,0,49.477386,0,0,0,3.5219917,0,0,0,0,0,0,0,0,0,0
SRR9161502_vRhyme_unbinned_20,0,0.5277106,13.742342,0,0,0,0,0,1.7044538,0,71.44004,0,0,2.8341393,17.825474,0,0,4.609029,0,0.75423217
SRR9161500_vRhyme_unbinned_121,0.84582144,0,0.07941242,0,0,2.4018302,0,39.895752,0,0.06938949,0,0,0.48404244,0,0.4596547,0,0,0,0,0
SRR9161506_vRhyme_unbinned_178,0,0,0,0,0,0.7209018,2.5579836,0.43797523,0,0,0,0,35.680702,0,0,0.26490137,0,0,0.9096613,0.073695965
SRR9161502_vRhyme_unbinned_147,0,0.1859998,4.774731,0,0,0,0,0,0.3600482,0,67.80697,0,0,0.7877875,3.7835693,0,0,4.1012354,0,0
SRR9162904_vRhyme_unbinned_27,0,0,0,0,0,0,0,0,8.37244,0,0,0,0,9.069568,36.617764,0,0,0,0,0.30754676
