,SRR9161502,SRR9161504,SRR9161503,SRR9162903,SRR9161510,SRR9161505,SRR9162901,SRR9162902,SRR9162906,SRR9161500,SRR9162899,SRR9161509,SRR9161501,SRR9161507,SRR9162900,SRR9162905,SRR9162908,SRR9161506,SRR9162904,SRR9162907
SRR9162905_vRhyme_unbinned_17,0,0,0,0,0,0,0,0,0.8241831,0.17958724,0,0,0,0.7283371,0,1,0,1,0,0
SRR9161507_vRhyme_unbinned_129,0.46829268,0.8223717,0.045668628,0.27560976,0.35449958,0,0.026745165,0,0.9316232,0.60176617,0.59133726,0.7159798,0.47712365,0.9976451,0.12329689,0.08334735,0.41640034,0.89882255,0,0.2552565
SRR9161509_vRhyme_unbinned_187,0,0,0,0,0,0,0,0,0.007671457,0,0,0.9924308,0,0,0,0,0,0,0,0.1698972
SRR9162903_vRhyme_unbinned_5,0,0.99732107,0,0.97923845,0.58017606,0,0,0,0,0,0,0,0,0,0,0,0.05845771,0,0,0
SRR9161507_vRhyme_unbinned_32,0.9279648,0.64322114,0,0.011812847,0.015287214,0,0.06609018,0,0.038295243,0.20699506,0.014283508,0.93035823,0,1,0,0.5527332,0.013434218,0.97660595,0,0.068406425
SRR9161510_vRhyme_unbinned_21,0,0.05976831,0,0,0.9999972,0,0,0,0,0.003218358,0,0.000798352,0,0,0,0,0.036239095,0,0,0
SRR9162907_vRhyme_unbinned_40,0,0,0.5694857,0,0,0,0,0.101263925,0,0,0,0.9998199,0,0,0,0,0,0,0,0.99738806
SRR9161505_vRhyme_unbinned_79,0.9355466,0,0.7113562,0,0,0.9997172,0.084464714,0.0762622,0.58043414,0.75371236,0.3040942,0.8989535,0.010111724,0.9283694,0,0,0,0,0.96853346,0.8265804
SRR9161509_vRhyme_unbinned_228,0.41460356,0.5426564,0.6389261,0.26932085,0.46888593,0.54968214,0.08782201,0.1452827,0.039812647,0.7575276,0.11692874,0.9866176,0.62888926,0,0.15623954,0,0.22842088,0,0.094931416,0.3149883
SRR9161510_vRhyme_unbinned_30,0.00261625,0,0.004335016,0,1,0,0,0,0,0.005359502,0,0,0,0.041902326,0,0,0.032157008,0.007120601,0,0
SRR9161507_vRhyme_unbinned_128,0.2663143,0.4435657,0,0.15829426,0,0.29413402,0.006676735,0,0.34758765,0.122446544,0,0.47166362,0,1,0,0.01192274,0.007352357,0.11366346,0,0.13699229
SRR9161505_vRhyme_unbinned_51,0.9382611,0.59720683,0.79553777,0.24499702,0.19654262,0.9968492,0.49357063,0.31618837,0.3391808,0.623861,0.59695137,0.9546964,0.09077749,0.5267819,0.073916376,0.62599,0.42561525,0.90717876,0.8909989,0.5215022
SRR9161509_vRhyme_unbinned_252,0,0,0,0,0,0,0,0,0,0,0,0.99373466,0,0,0,0,0,0,0,0.28893647
SRR9161509_vRhyme_unbinned_107,0.028356925,0,0,0,0.033307765,0,0,0,0,0.012690886,0.003486507,0.99944216,0.005276247,0,0,0.013946028,0,0.11610069,0,0.39762452
SRR9161505_vRhyme_unbinned_66,0.625422,0.05721325,0.3635368,0.013687381,0,1,0.16087234,0.08531801,0.09927913,0.25193906,0.029929738,0.81503785,0.052742038,0.37193173,0,0.08896797,0.19171457,0.5912036,0.96258783,0.3052286
SRR9161503_vRhyme_unbinned_146,0.00375177,0,0.999941,0,0,0.006890043,0,0.85343325,0,0.005332704,0,0,0,0,0,0,0,0,0.004955167,0
SRR9161502_vRhyme_unbinned_1,1,0.029567152,0.61989063,0,0,0.026323106,0.8481787,0.051255908,0,0.088052645,0,0.05190472,0,0,0,0,0.030772083,0,0.01390305,0.01390305
SRR9161503_vRhyme_unbinned_26,0.19289881,0.62171865,1,0.16075836,0,0.783711,0.15946825,1,0.36302444,0.4722347,0.34271932,0.08122055,0.1691721,0.6213821,0.14376262,0.122728296,0,0.12715952,0.5295042,0.052165132
SRR9161505_vRhyme_unbinned_67,0.19979967,0.012353923,0,0,0,0.99652755,0.02003339,0,0,0.08320534,0,0.2890818,0,0,0,0,0,0.2869449,0.9800334,0.02003339
SRR9161503_vRhyme_unbinned_94,0,0,1,0,0,0,0,1,0,0.01932382,0,0,0.01935464,0,0,0,0,0,0,0
SRR9161510_vRhyme_unbinned_96,0.19637533,0.01295192,0.009737235,0,0.9923593,0,0.045890793,0,0.015001863,0.027581066,0,0.28498882,0,0.013976892,0,0,0.9743757,0,0,0.16301714
